comment_id,sentence_id,order
h2ylt1w,8373f022-48e4-4572-ae46-c02c2dd3f06f,2
h2ylt1w,28174c4e-cdb7-4057-ab99-fdde85c41bf5,3
h93s324,623cb025-0bb8-40ad-bb9d-67ba27367f38,1
h3hrune,f6b9e0b2-e885-4db6-8d5e-ee684d06c262,1
h3hrune,493b1522-8e7c-45b8-821c-c00ead6b171c,2
h3hrune,9b98d1b6-a809-496f-9b39-242fcead2ab7,3
h3hrune,219b82ce-2bd6-4209-9a61-cca1854de3e0,4
h3hrune,140724a5-530d-4076-a680-e5cdb90b01e5,5
h3hrune,a051dcb1-c5be-4139-99c2-7851e37cc503,6
h4mhfrb,f8ddc815-9045-47fc-bb32-50c3d23dd11d,0
h4qv31m,93e08423-00e0-44c1-b29b-b7bde2068ceb,0
h4o287z,8b718ca7-4b54-437d-9c3d-8cb6356ced12,0
h4o287z,52648205-b71d-456c-96ec-cdd515a9990d,1
h4o287z,a4d6d88f-df7f-4ac1-b155-9d3eb1e6c610,2
h4o287z,231b57de-7bc9-41a7-9e12-3536d6847556,3
h4o287z,286bf237-0470-4a43-9910-d6518f4711a0,4
h4o287z,a289a9c9-d44f-4667-803d-62c5c3385652,5
h4o287z,a578119e-8be5-4921-a941-f20fd9c18de7,6
hrvjqzj,da1be5e4-c207-485f-aa60-c78c70a999ee,0
ht3l3al,64e75156-ab43-42e1-b7e9-763695080b7e,0
hwpihpk,eb29938c-26ac-4267-bebe-11c7f5dfbd2a,0
hwpihpk,1a926edf-8bd0-4f4d-865a-d087c4c05f4a,1
hxz1osh,48fbb46b-cdd1-41bb-914f-beeb8136d843,0
i76teic,5a5e81c6-3ce1-4529-941a-af6ebb884bae,0
i76teic,008e6be1-85f4-4166-8ddd-ef29da72e76e,1
inh0wq5,eedb8a69-88c4-404a-b7a8-27f7c5f157b1,0
i78ofw5,3bcd9be9-4922-42fb-a3b5-69025824573d,0
i78ofw5,b19597fd-91b3-4a51-be50-cd0790d52e6a,1
i78ofw5,cd870062-7701-4b04-81cd-7154d21e6659,4
i78ofw5,c1177735-ec31-4f1d-99f3-aa7f4440dd6e,5
i906fjh,1dbe299f-e21b-480c-974c-2779284adab4,1
i93dx2a,ac732676-82b2-4c80-be5d-9f5b958c0cae,0
i93dx2a,74dde42b-5c61-458b-bd4b-f2ddaf950467,1
i95qife,14039dfa-59e4-4c5a-835a-ebf61b685516,0
jevxu5h,a7c33263-23cc-49d5-a663-7560ce5a1bb8,0
jevxu5h,5966e443-7549-4fb6-9052-7978b56e73d3,1
jevxu5h,8bbe4b62-0071-4a37-9545-d8d26fe6e0a6,2
h4mstl1,4767f58e-d154-40e6-b4e0-470266a00813,0
h4mstl1,f21fd174-117c-4eda-9da6-0b19abd4c1e4,1
h4mstl1,7fd37687-9894-401a-8dfb-f2866956e4d1,2
h4mstl1,82342838-cb7c-4350-8b8a-8cdb9dc34382,3
h4mstl1,cdfea656-1cda-4888-968b-98a741232299,4
h6iud8p,bca52668-a276-4db7-9412-f6e2848aacd0,0
h6iud8p,a21ebf9b-0aa8-44c1-897b-1b84fb93cf90,1
h6iud8p,de3c87a9-b9ad-4ae9-a179-656e22840d5c,2
h6vo1wa,17207ecc-b7f9-4998-a862-f3b497c347d8,0
h6waatt,8ebde305-965d-46b1-9f9a-8beb08dda552,0
h93s9qv,2b8756cf-169e-4cb0-ad46-e1d62e7d90de,0
